Date,AIG,AMAT,BABA,BIDU,GOOGL,FB,ATHM,ABEV,AMZN,V,TSLA,VIS,AAPL,ATVI,AZN,BA,BAC,AMD,HFC,BMY,C,CELG,CHTR,CLF,JAZZ,COP,COST,COTY,CTL,CVS,CX,CZR,DHI,EA,EFC,EMR,ET,F,FCX,FDX,AR,GE,GGAL,GGB,GOLD,GOOG,GRPN,HAL,HBAN,IBM,IBN,INFY,INTC,ITUB,JNJ,JPM,KGC,KMI,KO,LLY,MDLZ,MGM,LVS,MRVL,MS,MSFT,NFLX,NKE,NLY,NOK,NTAP,NVDA,ORCL,PBR-A,PFE,QCOM,RF,RIG,RTN,S,SBUX,SIRI,SIX,SLB,SO,SPG,SR,SWN,T,TEVA,TGT,TSM,TWTR,TXN,VZ,WFC,WMB,XOM,YELP,VLO
2018/8/10,50.17531586,46.7848053,180.0099945,220.1000061,1252.51001,180.2599945,82.80999756,4.676710606,1886.300049,138.1821442,355.4899902,138.7889709,203.264679,70.04730988,38.1030159,328.2876587,30.18082047,19.05999947,66.49802399,56.5719986,67.40378571,91.20999908,302.4500122,9.929084778,176.1100006,69.58003998,216.654068,11.13245201,18.62918854,65.86541748,6.813344955,9.800000191,43.99633789,131.3200073,13.99868488,70.20950317,15.91103077,8.822385788,14.7272892,236.6184387,18.76000023,12.09235287,31.54901123,3.977777243,8.492458344,1237.609985,4.349999905,39.95456696,14.90241814,134.7268219,9.442305565,9.970985413,47.1307869,6.949211597,126.3937759,110.7347641,3.150000095,16.90683556,43.94056702,98.43559265,40.58454132,28.08432198,62.83474731,20.54938316,46.39828873,106.539772,345.8699951,79.45188141,8.791335106,5.112138748,78.597229,253.4064789,47.10958481,9.389864922,38.76652527,61.28039932,18.10545158,12.56000042,190.6303101,6.03000021,50.05728912,6.878828049,60.62286377,60.44345093,42.62274933,159.7372589,71.50952911,5.559999943,29.51067924,22.47999954,78.87709808,39.17765808,32.00999832,105.411293,49.27611542,54.77690887,29.18921089,73.96755219,49.34999847,108.3036499
2018/8/13,50.06001282,46.90144348,177.6799927,217.5700073,1248.640015,180.0500031,83.01000214,4.667165756,1896.199951,138.6568451,356.4100037,137.9711914,204.5771332,69.95802307,37.75469208,327.2720947,29.49379349,19.72999954,66.04521179,56.67691803,66.34849548,91.97000122,302.0599976,9.813631058,175.3699951,68.73858643,215.9164886,10.83681774,19.06485748,66.29466248,6.696377754,9.75,42.6251297,131.3200073,13.9561348,69.81976318,15.29602718,8.568764687,14.54209995,235.8648376,17.92000008,11.7893362,29.78203011,3.871831894,8.233686447,1235.01001,4.550000191,38.9161644,14.78011227,133.0763092,9.283444405,9.980572701,46.74486542,6.918353081,125.8814392,108.9741821,3.109999895,16.59977722,43.70217133,98.61849976,40.54584122,28.24975586,62.13092422,20.43145561,45.40109634,105.7676163,341.3099976,78.88106537,8.850394249,5.082758904,77.03391266,254.7292786,46.80734634,9.539057732,38.65287018,61.29930878,17.93509483,11.51000023,190.3875732,6.070000172,50.34883499,6.868945122,60.81534195,59.46412659,42.87221909,160.1128387,71.22252655,5.340000153,29.46494293,21.95000076,78.25722504,38.87210464,32.79999924,105.2676697,49.04132462,54.36171722,28.17920303,73.16658783,46.93999863,107.7591705
2018/8/14,50.28100967,47.02781677,172.5299988,216.2100067,1258.140015,181.1100006,79.33999634,4.78169775,1919.650024,139.2007599,347.6400146,138.9544525,205.4391022,70.72189331,37.71598434,328.0264893,29.79376411,20.02000046,66.50766754,57.19199371,67.16395569,92.70999908,307.8599854,9.544237137,176.2899933,69.78314972,218.3160095,10.87377262,19.48310089,68.08795929,6.881576538,9.600000381,43.08546448,131.9100037,13.94762611,70.57071686,15.45417023,8.604997635,14.42513943,238.5171967,18.13999939,11.69464111,30.13740158,3.99704051,8.163110733,1242.099976,4.710000038,38.74468613,14.98709106,133.6824188,9.392661095,10.01892281,46.42647934,7.091158867,125.1854172,109.7013855,3.079999924,16.70212936,43.75938797,99.16301727,40.51680374,28.20109749,61.78827667,20.1366272,45.89011002,107.0871277,337.4899902,78.87120819,8.825081825,5.092551708,79.37409973,260.010437,47.02183533,9.64840889,38.55815506,61.85709763,18.17170715,11.56000042,191.8050537,6.110000134,51.10683823,6.878828049,61.5577774,59.30853653,43.16788864,160.8456726,71.55736542,5.440000057,29.49238777,22.12000084,79.46826935,39.06307602,33.18999863,105.6506577,49.65175629,54.79578018,27.83028984,72.9337616,47.86000061,108.0032501
2018/8/15,50.06001282,46.18213272,169.8300018,213.4700012,1232.219971,179.5299988,77.83999634,4.753064632,1882.619995,138.3700562,338.6900024,138.1561584,205.9190063,68.75766754,37.20317459,320.8883667,29.37767792,19.70000076,64.9083252,57.4781456,65.85923004,89.26999664,295.75,9.476888657,173.9799957,65.59519196,217.9914856,10.55966187,19.57894516,68.33596802,6.61839962,9.300000191,42.9287529,128.0500031,13.93060684,69.92431641,15.26966763,8.559705734,13.31401443,238.3018646,17.65999985,11.57153988,31.07518387,3.804411888,7.825922012,1214.380005,4.630000114,37.82061005,14.96827316,134.195282,9.343017578,10.0045433,45.78971481,6.973899364,126.0844345,108.7923813,2.859999895,16.49742317,43.94056702,100.0245438,40.45874405,27.60749435,59.69533157,19.74352646,45.49698257,105.6349792,326.3999939,78.31023407,8.892578125,4.984825611,79.09597015,257.6732178,46.64160538,9.115503311,38.98436356,62.09344101,18.04866791,10.69999981,189.2516327,6.010000229,51.26231766,6.819528103,61.39280319,57.01124191,43.56519699,162.2655029,72.46617126,5.090000153,29.7027874,22.46999931,77.55557251,38.62384796,32.38000107,104.9421082,49.99924469,54.72029495,27.54565239,71.65781403,46.81999969,104.6894531
2018/8/16,50.40591812,46.1043663,171.9900055,217.3000031,1224.060059,174.6999969,78.31999969,4.638533115,1886.52002,139.3010254,335.4500122,139.7430267,208.9357147,69.13464355,36.72906113,334.6423645,29.72602654,19.32999992,65.27443695,58.2889061,66.73223877,90.15000153,302,9.419161797,173.1199951,67.13304138,219.4862671,10.60585308,20.32829475,69.82402039,6.413707256,9.600000381,43.40867615,129.7100067,13.96464348,70.77116394,15.28723907,8.614055634,13.42122746,241.0129547,17.46999931,11.64729595,30.64084244,3.775517464,7.731823444,1206.48999,4.519999981,37.88729477,15.05294704,135.5287628,9.472091675,10.06206703,45.50991821,6.961555004,128.0661316,109.8162003,2.809999943,16.58116913,44.07406616,101.0215912,40.74905396,27.51991081,60.29728699,19.92042351,46.31199646,105.6153641,322.4400024,78.78264618,8.934763908,5.0435853,76.25706482,256.0420837,46.89509201,9.02200985,39.23062134,62.16906738,18.36099625,10.64999962,192.7273865,6.119999886,51.54414749,6.859061718,61.58528137,57.19429779,43.88858795,163.7942047,73.5663147,5.119999886,30.26994514,24.11000061,78.88197327,38.58564758,32.83000183,104.7506104,50.96654129,55.35251236,27.55483246,72.64504242,46.34999847,104.501709
2018/8/17,50.52121353,42.54666138,172.7799988,222.6699982,1215.849976,173.8000031,78.27999878,4.686254501,1882.219971,139.9745026,305.5,140.6387177,213.1081238,68.59894562,36.88387299,335.048584,29.7453804,19.77000046,66.13191986,58.07905579,66.83776855,90.37000275,299.6400146,9.486510277,173.8099976,67.48122406,221.9349518,11.28950787,20.45899963,70.28187561,6.540421486,10,43.46744537,128.0099945,14.0157032,71.63236237,15.74409962,8.650287628,13.61616325,241.6882782,17.5,11.64729595,28.91334724,3.814043045,7.857289314,1200.959961,4.409999847,38.07782364,15.14702797,136.2001801,9.680596352,10.1052103,45.44238281,6.788750648,129.9898224,109.8162003,2.890000105,16.70212936,44.43642426,102.1735382,41.32965851,27.78265381,60.99185181,19.4388752,46.37911606,105.556488,316.7799988,78.48738861,9.010697365,5.12193203,77.83956146,243.4906464,47.14857864,8.769581795,39.8652153,62.45269394,18.44617462,10.76000023,193.2904816,6.130000114,52.04948044,6.888711452,61.83275986,57.50547791,43.95409012,165.3599701,73.47064972,5.139999866,30.21505928,24.21999931,79.81429291,38.31829453,32.72999954,104.980423,51.4548912,55.54123688,27.97719955,72.88718414,45.31999969,104.2013092
2018/8/20,51.07850647,42.31337357,176.2899933,223.7100067,1221.949951,172.5,77.76000214,4.638533115,1876.709961,139.5882568,308.4400024,141.4272919,211.031723,68.38069916,37.59020233,339.2463379,29.87117767,19.97999954,68.09736633,57.5353775,67.66280365,90.87999725,295,9.361433983,174.25,68.20661926,223.5772247,11.45580101,20.79010582,71.17854309,6.530674458,10.05000019,43.86901093,127.7099991,14.06676388,72.28304291,15.97253036,8.804270744,13.76236343,243.4989471,17.61000061,11.64729595,27.97556305,3.910357714,7.951389313,1207.77002,4.429999828,38.48746872,15.15643597,136.6197815,9.650811195,9.827174187,44.86349487,6.768678665,132.3195496,109.6726685,2.869999886,16.66490746,44.56038666,102.4348984,41.43610764,27.81184769,60.77883911,19.49783897,46.30241013,104.8598404,327.730011,80.87891388,9.044444084,5.14151907,79.00004578,246.4942322,47.2070694,8.638691902,40.0925293,62.54722977,18.43670845,11.18999958,194.6108551,6.170000076,52.39932632,6.868945122,61.27363586,58.11870193,43.61721039,168.0375519,73.23149109,5.239999771,30.28824234,25.64999962,80.0834198,38.28963852,32.59999847,104.3963318,51.32341766,55.70165253,27.93128967,73.39943695,44.74000168,106.4543076
2018/8/21,51.69344711,42.53693771,177.9199982,223.1300049,1217.410034,172.6199951,77.19999695,4.504912853,1883.420044,138.6968842,321.8999939,142.7123718,210.6203461,69.10488892,37.50311661,342.1770935,30.01632118,20.39999962,68.65617371,57.30645752,68.34394836,91.19999695,305.0799866,9.428782463,173.9700012,68.56448364,224.7474976,10.64280891,20.89466667,70.29143524,6.78410387,10.14999962,45.51446915,126.7600021,14.13484287,73.29734039,15.91103077,8.931080818,13.95729733,245.7695923,18.10000038,11.9597826,28.03479004,3.775517464,7.982753754,1201.619995,4.519999981,38.97332001,15.25051498,136.1162415,9.551522255,9.822380066,45.94407654,6.561668396,130.8405151,110.3424606,2.869999886,16.71143532,44.07406616,101.7088928,41.18450928,28.23028946,61.3622818,19.94990349,46.54212189,103.9865799,338.019989,81.63672638,9.010697365,5.24924612,78.54928589,251.9444885,47.19733047,8.199276924,39.93151474,62.9159317,18.49349594,11.32999992,194.7564697,6.179999828,52.47706604,6.859061718,61.45696259,59.27192307,43.04637909,166.9628296,73.27931213,5.5,30.55352974,25.17000008,80.03535461,39.04397964,33.68999863,106.7709351,51.56758499,55.63560486,28.02310944,73.4180603,44.52999878,107.1489792
2018/8/22,51.04968262,41.98033524,177.8500061,223.0299988,1221.75,173.6399994,78.36000061,4.45719099,1904.900024,139.7863312,321.6400146,141.5051575,210.6301575,70.86077881,37.40636444,338.5596313,29.97761536,20.89999962,69.12078857,57.77383041,68.2288208,90.63999939,300.2799988,9.640449524,172.8000031,69.63808441,225.4063568,10.8275795,19.5353775,70.50127411,6.940060139,10.35000038,44.76030731,127.6200027,14.04974174,71.91943359,16.04281616,8.777095795,14.16197681,241.6882782,18.44000053,11.80827332,28.97257423,3.852568865,8.139585495,1207.329956,4.599999905,39.24959564,15.25051498,135.4355316,9.561450958,9.827174187,45.39414215,6.655763149,130.1251831,110.0075607,2.910000086,17.00918961,43.79752731,101.6701584,40.89420319,28.0551281,60.78810883,20.08749008,46.59964752,105.046257,344.4400024,81.33163452,9.002261162,5.298213005,79.33572388,261.3928833,47.5775528,8.433009148,39.8462677,63.19010162,18.48403168,11.63000011,193.6011658,6.139999866,51.33034515,6.918361664,59.75210953,59.57395554,42.35388947,166.1938324,72.51400757,5.659999847,29.89488983,24.51000023,82.60164642,39.05352783,33.81000137,107.4220505,50.84445572,55.83375931,27.99556351,74.47048187,44.18000031,108.5946503
2018/8/23,50.55003738,41.78502655,172.2299957,219.3000031,1221.160034,172.8999939,77.34999847,4.380836964,1902.900024,140.7371216,320.1000061,140.8626251,211.0611115,70.60284424,36.87419891,336.0932007,29.84214592,22.29000092,70.53399658,57.31599426,67.93141937,89.83999634,293.3900146,9.236359596,169.5,69.68643188,225.7014008,10.7536726,19.87520218,70.24372101,6.813344955,10.30000019,44.04531479,126.1100006,14.06676388,72.31174469,15.94617176,8.72274971,13.82084179,239.270813,18.39999962,11.87455845,28.05453491,3.671807766,8.02196312,1205.380005,4.519999981,38.8971138,15.22229195,135.5567322,9.452234268,9.769648552,45.32660294,6.335835934,130.6085052,109.7779236,2.890000105,16.73004532,43.57820892,101.4668732,40.72969818,27.78265381,60.66772079,19.89094353,46.14899063,105.53685,339.1700134,81.59735107,8.985385895,5.317799568,79.75772858,265.3910828,47.73355103,8.133833885,39.9693985,63.20900726,18.30420685,11.73999977,192.4069824,6.110000134,51.17486572,6.819528103,60.40289307,59.17124557,42.24159622,167.1666412,72.32266998,5.579999924,29.72108078,23.79999924,83.34172821,38.84346008,33.88000107,107.6231155,50.97593307,55.31476593,27.62828827,73.65089417,45.31000137,110.8288879
2018/8/24,51.22263718,41.72644043,174.2299957,224.3600006,1236.75,174.6499939,79.41000366,4.447646618,1905.390015,142.8169861,322.8200073,141.5149078,211.7173309,73.49957275,37.0580368,337.9309692,29.89052582,23.97999954,71.22122955,57.20153427,67.79711151,89.93000031,300.6700134,9.50575161,167.4100037,70.22805786,227.4420166,11.06778145,19.82292175,70.66342926,6.813344955,10.35000038,44.03551865,128.9700012,14.17739105,72.40743256,16.06038857,8.76803875,14.10349751,239.8091125,18.48999977,11.83668041,26.06051064,3.739804506,8.202319145,1220.650024,4.539999962,38.8780632,15.25051498,136.1815033,9.426815033,9.731298447,45.98266983,6.386020184,131.4205322,109.7300873,2.99000001,16.72073746,43.51146317,102.3864899,41.01999664,27.73399925,60.69549942,20.1366272,46.15858078,106.3610611,358.8200073,81.14463043,8.951636314,5.464700222,80.79354858,270.7418823,48.02603149,8.302120209,40.15882492,63.48316574,18.22849274,11.77999973,194.2516479,6.079999924,51.26231766,6.878828049,60.93451309,59.72039795,42.1386528,167.620636,72.37051392,5.659999847,29.85829926,23.02000046,83.91842651,39.37817764,34.27999878,108.8104095,51.44549942,55.38082504,27.6191082,74.15381622,46.34999847,113.1663818
